fish,stage,day,distance,yds,trial
fish9,ReRotation,4,3.545709525575621,1.4833825886942953,2
fish9,ReRotation,4,2.603347828559819,0.4122861898392581,3
fish9,ReRotation,4,3.1778673556952493,0.5496870613359164,4
fish9,ReRotation,4,3.1024321030155755,0.2617501658236986,5
fish9,ReRotation,4,3.93460559754557,0.4890334295734738,6
fish9,ReRotation,5,2.9777005813935182,0.5780831879318432,1
fish9,ReRotation,5,2.455091916234931,0.1873181032948376,2
fish9,ReRotation,5,2.499757234861446,0.2320546946878871,3
fish9,ReRotation,5,4.3409257721844,3.167938293302873,4
fish9,ReRotation,5,2.507552965918977,0.1320421469196877,5
fish9,ReRotation,5,5.138163955396875,3.353661639052561,6
fish9,ReRotation,6,2.5161129760771703,0.0845327962080893,1
fish9,ReRotation,6,2.5896184821353145,0.0982672386096767,2
fish9,ReRotation,6,4.358132398759956,1.3345893424737645,3
fish9,ReRotation,6,2.526033531309236,0.118339261473586,4
fish9,ReRotation,6,2.602208756885967,0.2887865733688145,5
fish9,ReRotation,6,2.807415441650757,0.3709840007176761,6
fish9,ReRotation,7,2.7122704005629097,0.6845028370762044,1
fish9,ReRotation,7,2.935437110227701,1.0129916399260317,2
fish9,ReRotation,7,2.214698717535257,0.1178071519229334,3
fish9,ReRotation,7,2.4398673131651423,0.2202800633192195,4
fish9,ReRotation,7,2.64851899211914,0.3177020972447779,5
fish9,ReRotation,7,2.364135035025411,0.221041694899485,6
fish9,ReRotation,8,2.41400593188944,0.0623688718856924,1
fish9,ReRotation,8,4.38929537022495,0.9282796167651512,2
fish9,ReRotation,8,9.395919825922505,6.881355502778849,3
fish9,ReRotation,8,3.1267607884625965,0.6601537969213257,4
fish9,ReRotation,8,2.446006668758434,0.392062248998913,5
fish9,ReRotation,8,2.880127740529268,0.6899245307648938,6
fish9,ReRotation,9,2.508361150608013,0.0897937676444007,1
fish9,ReRotation,9,3.816743567301993,1.953013807561382,2
fish9,ReRotation,9,5.729479844970792,0.3434137205737664,3
fish9,ReRotation,9,2.625578993213649,0.1719936594250458,4
fish9,ReRotation,9,2.89291919995552,0.4283201404032533,5
fish9,ReRotation,9,2.5133422258413423,0.1253425665804088,6
fish9,ReRotation,10,5.98080715878756,4.0567193608458645,1
fish9,ReRotation,10,4.8357787986064364,1.551403571270673,2
fish9,ReRotation,10,4.7084829584690295,1.1443280514254723,3
fish9,ReRotation,10,3.3142956582566505,1.093229524855856,4
fish9,ReRotation,10,3.2537874816620285,0.9835861913838756,5
fish9,ReRotation,10,2.6555236170430803,0.1323095783071431,6
fish9,ReRotation,11,2.76714338484836,0.1507771392170825,1
fish9,ReRotation,11,2.8226053002457543,0.5782644229575553,2
fish9,ReRotation,11,5.104968362589932,4.581036084146525,3
fish9,ReRotation,11,2.4637673596604124,0.2412650906943193,4
fish9,ReRotation,11,2.546150607338181,0.4762846577231303,5
fish9,ReRotation,11,6.9841158128132905,4.5301988633046895,6
fish9,ReRotation,12,2.450590613266101,0.1749963858508043,1
fish9,ReRotation,12,6.879128512044238,0.5901441881501762,2
fish9,ReRotation,12,2.631402927987032,0.2746338233247645,3
fish9,ReRotation,12,2.543587713463814,0.3750621644464664,4
fish9,ReRotation,12,2.3925432717224653,0.3042717533226574,5
fish9,ReRotation,12,2.8388780343395728,0.331991141730016,6
fish9,ReRotation,13,2.458356317636302,0.0737081779512836,1
fish9,ReRotation,13,3.86627793419178,0.7101654105423847,2
fish9,ReRotation,13,3.0560934207128474,0.5962801133511099,3
fish9,ReRotation,13,2.269604187218204,0.1523961963648181,4
fish9,ReRotation,13,2.504286478708074,0.1748875857942258,5
fish9,ReRotation,13,2.48041481699738,0.059695328244068,6
fish9,ReRotation,14,2.424978196982757,0.1057344980510501,1
fish9,ReRotation,14,4.976036891943931,0.4778709383468874,2
fish9,ReRotation,14,2.4585428978941284,0.2054475228849988,3
fish9,ReRotation,14,3.712267961336219,0.2894092639785927,4
fish9,ReRotation,14,2.2117708351611527,0.1694954672625583,5
fish9,ReRotation,14,2.429970284033568,0.1917778305086725,6
fish9,ReRotation,15,2.3732754672565872,0.5387843047974599,1
fish9,ReRotation,15,2.282332325415364,0.1209007399997723,2
fish9,ReRotation,15,2.20604892550688,0.0730878575427338,3
fish9,ReRotation,15,2.235753464486116,0.0839422830992731,4
fish9,ReRotation,15,2.2707788110401586,0.1902888757897253,5
fish10,Baseline,1,2.7283860521465,-0.1487684089526366,1
fish10,Baseline,1,2.457542687717655,-0.075653324513459,2
fish10,Baseline,1,5.868552080163418,-3.935119261521229,3
fish10,Baseline,1,6.452188067795004,-0.3225582029160552,4
fish10,Baseline,1,6.775444327364946,3.8004198151903776,5
fish10,Baseline,1,3.482811738881847,-0.2055866938058802,6
fish10,Baseline,2,2.0636460716847616,-0.984420504902638,1
fish10,Baseline,2,5.537591660559666,-3.504010781849122,2
fish10,Baseline,2,2.3407941023651584,-0.1648650730333591,3
fish10,Baseline,2,3.553189218927643,1.64853507076337,4
fish10,Baseline,2,5.706236600941781,2.3661481602192764,5
fish10,Baseline,2,2.641807188392399,0.2239595379445014,6
fish10,Baseline,3,15.011951946761062,-4.82447996289946,1
fish10,Baseline,3,13.020870900483215,-6.65136116355521,2
fish10,Baseline,3,4.594206826313734,2.299901078571955,3
fish10,Baseline,3,5.595468501826193,2.9546550274111363,4
fish10,Baseline,3,9.433277426385445,1.233725573715835,5
fish10,Baseline,3,11.044737606632674,-2.1329929001761343,6
fish10,Baseline,4,7.406171087558383,-4.035414041572163,1
fish10,Baseline,4,8.091208501871202,-2.219804817717513,2
fish10,Baseline,4,5.534038756271538,0.6433357251571916,3
fish10,Baseline,4,2.206436382678452,-0.1881950672307435,4
fish10,Baseline,4,6.898472310458543,-3.656652173054282,5
fish10,Baseline,4,7.4481826377431775,2.5416972181230264,6
fish10,Baseline,5,2.48567392596134,-0.0396600724450606,1
fish10,Baseline,5,10.325372064973934,-8.355700143405183,2
fish10,Baseline,5,10.210290412716557,-1.7557664768043793,3
fish10,Baseline,5,2.3830007687095462,-0.4773249251439601,4
fish10,Baseline,5,3.4189283582096657,0.0291577085543626,5
fish10,Baseline,5,2.738792743348371,-0.2055941508393286,6
fish10,Baseline,6,9.85745769740634,-1.5621631603571031,1
fish10,Baseline,6,9.68984666209718,3.0702052484157174,2
fish10,Baseline,6,3.5624493492995244,0.3763062768352898,3
fish10,Baseline,6,2.515573940691607,-0.3267679604059794,4
fish10,Baseline,6,2.771431795050608,0.1549106702936115,5
fish10,Baseline,6,2.6719487470777223,-0.2942147009728653,6
fish10,Baseline,7,5.614829388557298,3.0548153202921022,1
fish10,Baseline,7,8.20453968966785,4.060758363097892,2
fish10,Baseline,7,5.419951587626176,-0.9224094267052264,3
fish10,Baseline,7,10.184489228644969,-6.725451820503707,4
fish10,Baseline,7,11.30922385096925,-6.914642403430158,5
fish10,Baseline,7,7.671900498147978,2.227803084352957,6
fish10,Baseline,8,2.245585917778268,-0.1845063786817329,1
fish10,Baseline,8,5.235859023500107,0.8105973428428616,2
fish10,Baseline,8,7.1980451117687085,0.2209277921262336,3
fish10,Baseline,8,6.898578427525759,0.3323638548470452,4
fish10,Baseline,8,7.639102801908289,-1.9400542326237025,5
fish10,Baseline,8,12.118008381529016,-3.185420022856569,6
fish10,Baseline,9,3.070967909030782,-0.4252994000628241,1
fish10,Baseline,9,7.460994797518017,-0.3827313782207618,2
fish10,Baseline,9,7.0729757762285015,-2.514840442446124,3
fish10,Baseline,9,11.238877568191691,-6.588230631949619,4
fish10,Baseline,9,5.361017325902346,-2.6395024491525225,5
fish10,Baseline,9,4.190961410748273,-2.297872647340952,6
fish10,Baseline,10,7.348764411043506,-5.356203004268362,1
